bucket,reason,market_snapshot_id,match_id,id_prefix,player_id,source_name,market_type,selection,line_value,odds_american,price_cents,implied_probability,captured_at
needs_review,market_snapshot_missing_match_or_player_identity,f7c0ffe6bb303303292c3bab4bccd40494143d32,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,,draftkings,match_total_games,Over,21.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,3c8a7dccd50254976ef73efbb0833b274822d6d7,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,,draftkings,match_total_games,Over,17.5,-125,,0.5555555555555556,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,a6b47036475ea25b7363db3c5458611dadd7ab3a,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,,draftkings,first_set_total_games,Under,8.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,cddcca7b787bcb8cb4b34525a9e270dd95bd08c6,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,,draftkings,first_set_total_games,Over,8.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,e4e210e72df0dc5ed40e8fbebe03635a7df5754b,dk-wta-wta-quals-london-donna-vekic-vs-carole-monnet-2026-06-07,dk,,draftkings,match_total_games,Under,17.5,-115,,0.5348837209302325,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,24f19f57f4b8ba330699268bde0359c9c3242692,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,,draftkings,first_set_total_games,Under,8.5,-105,,0.5121951219512195,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,3d8c5c3719b4c6cf3c7e5082a7e376f7f070dca1,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,,draftkings,match_total_games,Over,18.5,-110,,0.5238095238095238,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,e97c46671e885b4168cdb24763537d07add479b2,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,,draftkings,match_total_games,Under,18.5,-135,,0.574468085106383,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,fee528c426e49ad53db4841e33a2ba8bdcf0759e,dk-wta-wta-quals-london-ekaterine-gorgodze-vs-kamilla-rakhimova-2026-06-07,dk,,draftkings,first_set_total_games,Over,8.5,-135,,0.574468085106383,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,764584fe0f244ee67f1e2c5165bf6fc15b315ddf,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-165,,0.6226415094339622,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,8b5c66502eee300009f5e42df02aa22f2c859139,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,,draftkings,match_total_games,Under,21.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,9b26e62aea1701189a7eaec5e8228196e2697298,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,,draftkings,match_total_games,Over,21.5,-110,,0.5238095238095238,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,be15be67d7c7a1f2c9c578b231b4a2d8d32b0a71,dk-wta-wta-quals-london-elsa-jacquemot-vs-hanyu-guo-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,110,,0.47619047619047616,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,1494989a7ac9568aa069499cfccc9019dc0db5e6,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,,draftkings,match_total_games,Over,20.5,-125,,0.5555555555555556,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,626fc6d3758f2c8878971e0782c2c5ee10bda9c3,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-165,,0.6226415094339622,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,970acbdb37ac8809eda831699ec56913acce0516,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,,draftkings,match_total_games,Under,20.5,-115,,0.5348837209302325,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,c13d290a957ecbb50fd8b4366999b00ebaa80fc3,dk-wta-wta-quals-london-jodie-anna-burrage-vs-anna-blinkova-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,110,,0.47619047619047616,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,2cb449839dea1f8382b1dec78494b44b67261505,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-140,,0.5833333333333334,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,3db2775cb16907bc0b13c417d1036c90fe0793d2,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,,draftkings,match_total_games,Under,21.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,418a25fdd7c2d3b094684b4a7294565de1aea561,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,-105,,0.5121951219512195,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,b88c583940caae4350c490614253bb70a8aa7836,dk-wta-wta-quals-london-maddison-inglis-vs-alycia-parks-2026-06-07,dk,,draftkings,match_total_games,Over,21.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,01e32ddc5209904accb026997f9e337a292cd919,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,,draftkings,match_total_games,Under,20.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,1b3127fe46d6afc5c5adb2d1c2e2a566a035a0b6,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,110,,0.47619047619047616,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,7b1985af70f3e1901ad28edfbb745f038a6b01a0,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,,draftkings,match_total_games,Over,20.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,d2498474d9a0cbece39e41de6cbfba599b603946,dk-wta-wta-quals-london-priscilla-hon-vs-polina-kudermetova-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-165,,0.6226415094339622,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,4453170eb92fc4f3b46719fd8511c24caa0ad934,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,,draftkings,match_total_games,Over,21.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,c1277e0c09f5d10fcaa8d3d07c974ea6fd1507ce,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-135,,0.574468085106383,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,cb08ddf9494ec4c6bfc15201e6e8afe07ab1e46d,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,,draftkings,match_total_games,Under,21.5,-115,,0.5348837209302325,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,e859b7a69e265051657995ac2a37ff160cca9442,dk-wta-wta-quals-london-talia-gibson-vs-alina-charaeva-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,-110,,0.5238095238095238,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,2ee4ee5a309fde9c6a39515a2503b2cce5499daa,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-185,,0.6491228070175439,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,88ba6cbdafbbbe647686f8f863dcb6438821f4da,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,,draftkings,match_total_games,Over,19.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,c0e0dacbd8c91c77e8c025ae26126b708aafa040,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,,draftkings,match_total_games,Under,19.5,-110,,0.5238095238095238,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,e824372fdc93bfc007b5ca444839aadb18bbc7e5,dk-wta-wta-quals-london-tatjana-maria-vs-yuriko-lily-miyazaki-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,125,,0.4444444444444444,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,c70354987813ae2cd9c7ddf6474e7c5dc216491e,rh-atp-challenger-bratislava-sachko-vs-watanuki-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,-110,,0.5238095238095238,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,d89751d671bf83aff5aaceb3592fd22a41a98401,rh-atp-challenger-bratislava-sachko-vs-watanuki-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-130,,0.5652173913043478,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,0bb17fa370c9a81509f2651a0e6b666bf391599e,rh-atp-challenger-ilkley-schoolkate-vs-harris-2026-06-08,rh,,draftkings,first_set_total_games,Over,10.5,135,,0.425531914893617,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,c9f2132f08f972068beecbf1befb8d382ad72462,rh-atp-challenger-ilkley-schoolkate-vs-harris-2026-06-08,rh,,draftkings,first_set_total_games,Under,10.5,-200,,0.6666666666666666,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,51ece0696894067cbff76011e490d3d092651923,rh-atp-challenger-lyon-pavlovic-vs-galan-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,-125,,0.5555555555555556,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,b4fe5acaa37db34f1a7d8339e808859fc7828081,rh-atp-challenger-lyon-pavlovic-vs-galan-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-115,,0.5348837209302325,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,60936f19d86763f534a9b1c26307cb41a6da7d6e,rh-wta-125k-ilkley-dudeney-vs-sakatsume-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-150,,0.6,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,6beeceb41be34bf7dfd2299ba37d2191fb8b4f6d,rh-wta-125k-ilkley-dudeney-vs-sakatsume-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,105,,0.4878048780487805,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,c745e560a1c2d4e94c3e84b1efe7ec7d6f102df6,rh-wta-125k-ilkley-golubic-vs-britton-2026-06-08,rh,,draftkings,first_set_total_games,Over,8.5,-125,,0.5555555555555556,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,ea37feb3625a143fc108ff3b6f9a5237171ab922,rh-wta-125k-ilkley-golubic-vs-britton-2026-06-08,rh,,draftkings,first_set_total_games,Under,8.5,-115,,0.5348837209302325,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,1a6e39d6943eab40737267ce734c32cef41c8df1,rh-wta-125k-ilkley-klimovicova-vs-kraus-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,120,,0.45454545454545453,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,8da970dccbef25352b860671946287562d1937ee,rh-wta-125k-ilkley-klimovicova-vs-kraus-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-175,,0.6363636363636364,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,468581cf3aefcbdb37db168894fdb00b16dcbba8,rh-wta-125k-ilkley-podrez-vs-prozorova-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-165,,0.6226415094339622,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,ebd7e191e0a8dd71a730e616027d4776ba4fa2d3,rh-wta-125k-ilkley-podrez-vs-prozorova-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,110,,0.47619047619047616,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,3514ab0ea9ecf460a61c7462acc15814e819a86a,rh-wta-125k-ilkley-sawangkaew-vs-urhobo-2026-06-08,rh,,draftkings,first_set_total_games,Over,8.5,-185,,0.6491228070175439,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,3a43d3bd6e17b148966c937dfe8b2950ee4a5fe6,rh-wta-125k-ilkley-sawangkaew-vs-urhobo-2026-06-08,rh,,draftkings,first_set_total_games,Under,8.5,125,,0.4444444444444444,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,c53089183a9778400b9ef5440907d3d7344ba26b,rh-wta-125k-ilkley-vidmanova-vs-fruhvirtova-2026-06-08,rh,,draftkings,first_set_total_games,Over,9.5,120,,0.45454545454545453,2026-06-08T07:31:18.345Z
needs_review,market_snapshot_missing_match_or_player_identity,d9fc7decb8a122d205dd154a4ccb1292cac50c09,rh-wta-125k-ilkley-vidmanova-vs-fruhvirtova-2026-06-08,rh,,draftkings,first_set_total_games,Under,9.5,-175,,0.6363636363636364,2026-06-08T07:31:18.345Z
